currency,rate
ARS,27.203053
AUD,0.366462
BHD,0.102383
BWP,3.114424
BRL,1.545338
BND,0.367691
BGN,0.460203
CAD,0.338680
CLP,221.832282
CNY,1.742434
COP,1039.230052
HRK,1.768418
CZK,6.011185
DKK,1.750171
EUR,0.235298
HKD,2.119306
HUF,84.439338
ISK,35.341694
INR,20.280895
IDR,3902.420846
IRR,11443.249254
ILS,0.853666
JPY,31.031701
KZT,116.887010
KRW,322.272764
KWD,0.082160
LYD,1.240661
MYR,1.131021
MUR,11.721970
MXN,5.673707
NPR,32.601539
NZD,0.381717
NOK,2.322459
OMR,0.104697
PKR,46.283625
PHP,13.787012
PLN,1.079635
QAR,0.991150
RON,1.164575
RUB,19.602159
SAR,1.021103
SGD,0.367691
ZAR,4.200629
LKR,54.866871
SEK,2.332746
CHF,0.248666
TWD,7.585718
THB,9.091133
TTD,1.845007
TRY,2.638587
GBP,0.199589
USD,0.272294
VEF,119514.400463
