currency,rate
ARS,136.297329
AUD,1.836174
BHD,0.512973
BWP,15.603729
BRL,7.743746
BND,1.842312
BGN,2.305854
CAD,1.697120
CLP,1111.471797
CNY,8.729350
COP,5205.250658
HRK,8.861552
CZK,30.116107
DKK,8.768966
EUR,1.178964
HKD,10.618515
HUF,423.100895
ISK,177.096893
INR,101.620482
IDR,19533.876459
IRR,57334.724640
ILS,4.276680
JPY,155.488537
KZT,585.666146
KRW,1614.955557
KWD,0.411632
LYD,6.216458
MYR,5.666706
MUR,58.714845
MXN,28.429839
NPR,163.354926
NZD,1.912587
NOK,11.637245
OMR,0.524569
PKR,231.918912
PHP,69.075599
PLN,5.411684
QAR,4.966014
RON,5.835128
RUB,98.217720
SAR,5.116086
SGD,1.842312
ZAR,21.047235
LKR,274.902210
SEK,11.688234
CHF,1.245949
TWD,38.001788
THB,45.553547
TTD,9.245797
TRY,13.227372
AED,5.010354
USD,1.364290
VEF,598763.543286
