currency,rate
ARS,17.658929
AUD,0.235736
BHD,0.066615
BWP,1.997681
BND,0.238978
BGN,0.299342
CAD,0.219179
CLP,144.126101
CNY,1.133185
COP,666.360345
HRK,1.149796
CZK,3.919058
DKK,1.138710
EUR,0.153051
HKD,1.378850
HUF,55.098042
ISK,22.959437
INR,13.273032
IDR,2525.751678
IRR,7445.560449
ILS,0.555296
JPY,20.240442
KZT,75.766991
KRW,208.680883
KWD,0.053457
LYD,0.810059
MYR,0.735430
MUR,7.621708
MXN,3.660192
NPR,21.336398
NZD,0.246389
NOK,1.490822
OMR,0.068121
PKR,30.199109
PHP,8.958571
PLN,0.707011
QAR,0.644894
RON,0.757443
RUB,12.562458
SAR,0.664382
SGD,0.238978
ZAR,2.716453
LKR,35.783757
SEK,1.517598
CHF,0.161770
TWD,4.936027
THB,5.909255
TTD,1.200783
TRY,1.690832
AED,0.650652
GBP,0.129552
USD,0.177169
VEF,77021.774973
