currency,rate
ARS,0.002380
AUD,0.000032
BHD,0.000009
BWP,0.000272
BRL,0.000132
BND,0.000032
BGN,0.000040
CAD,0.000030
CLP,0.019306
CNY,0.000152
COP,0.092200
HRK,0.000155
CZK,0.000519
DKK,0.000153
EUR,0.000021
HKD,0.000185
HUF,0.007387
ISK,0.003090
INR,0.001765
IDR,0.340627
ILS,0.000074
JPY,0.002699
KZT,0.010216
KRW,0.028114
KWD,0.000007
LYD,0.000108
MYR,0.000099
MUR,0.001026
MXN,0.000484
NPR,0.002838
NZD,0.000033
NOK,0.000204
OMR,0.000009
PKR,0.004046
PHP,0.001196
PLN,0.000095
QAR,0.000087
RON,0.000102
RUB,0.001697
SAR,0.000089
SGD,0.000032
ZAR,0.000358
LKR,0.004798
SEK,0.000204
CHF,0.000022
TWD,0.000663
THB,0.000791
TTD,0.000162
TRY,0.000231
AED,0.000087
GBP,0.000018
USD,0.000024
VEF,10.512147
