currency,rate
ARS,0.493488
AUD,0.006588
BHD,0.001862
BWP,0.055826
BRL,0.027942
BND,0.006678
BGN,0.008365
CAD,0.006125
CLP,4.027692
CNY,0.031664
COP,18.618147
HRK,0.032132
CZK,0.109514
DKK,0.031820
EUR,0.004277
HKD,0.038533
HUF,1.539595
ISK,0.641524
INR,0.370898
IDR,70.573418
IRR,208.070955
ILS,0.015518
JPY,0.565648
KZT,2.117357
KRW,5.831785
KWD,0.001494
LYD,0.022638
MYR,0.020552
MUR,0.212994
MXN,0.102300
NPR,0.596219
NZD,0.006885
NOK,0.041664
OMR,0.001904
PKR,0.843933
PHP,0.250363
PLN,0.019756
QAR,0.018022
RON,0.021165
RUB,0.351019
SAR,0.018567
SGD,0.006678
ZAR,0.075933
SEK,0.042410
CHF,0.004521
TWD,0.137916
THB,0.165124
TTD,0.033557
TRY,0.047252
AED,0.018183
GBP,0.003620
USD,0.004951
VEF,2152.422824
