currency,rate
ARS,4.794124
AUD,0.064592
BHD,0.018044
BWP,0.548837
BRL,0.272465
BND,0.064812
BGN,0.081116
CAD,0.059705
CLP,39.098059
CNY,0.307054
COP,182.980063
HRK,0.311721
CZK,1.059345
DKK,0.308482
EUR,0.041474
HKD,0.373502
HUF,14.884284
ISK,6.229436
INR,3.574009
IDR,686.604370
IRR,2016.730776
ILS,0.150434
JPY,5.469662
KZT,20.600724
KRW,56.802594
KWD,0.014479
LYD,0.218671
MYR,0.199324
MUR,2.064775
NPR,5.745220
NZD,0.067284
NOK,0.409407
OMR,0.018452
PKR,8.158176
PHP,2.429496
PLN,0.190464
QAR,0.174678
RON,0.205265
RUB,3.455530
SAR,0.179957
SGD,0.064812
ZAR,0.740333
LKR,9.669323
SEK,0.411164
CHF,0.043836
TWD,1.336644
THB,1.602704
TTD,0.325255
TRY,0.465523
AED,0.176238
GBP,0.035175
USD,0.047988
VEF,21060.281534
