currency,rate
ARS,2.320005
AUD,0.031346
BHD,0.008720
BWP,0.265411
BRL,0.128559
BND,0.031321
BGN,0.039217
CAD,0.028897
CLP,18.816352
CNY,0.148404
COP,89.862951
HRK,0.150800
CZK,0.506048
DKK,0.149120
EUR,0.020051
HKD,0.180524
HUF,7.200003
ISK,3.011243
INR,1.720650
IDR,331.994878
IRR,974.656963
ILS,0.072126
JPY,2.630536
KZT,9.956626
KRW,27.401455
KWD,0.007004
LYD,0.105748
MYR,0.096478
MXN,0.471754
NPR,2.765944
NZD,0.032603
NOK,0.198813
OMR,0.008917
PKR,3.943727
PHP,1.165454
PLN,0.092193
QAR,0.084419
RON,0.099233
RUB,1.653524
SAR,0.086971
SGD,0.031321
ZAR,0.349049
LKR,4.675961
SEK,0.199281
CHF,0.021157
TWD,0.645818
THB,0.771281
TTD,0.157413
TRY,0.224730
AED,0.085173
GBP,0.017176
USD,0.023192
VEF,10245.737629
