currency,rate
ARS,100.034110
AUD,1.351575
BHD,0.376000
BWP,11.443987
BRL,5.543206
BND,1.350485
BGN,1.690970
CAD,1.245994
CLP,811.324402
CNY,6.398902
COP,3874.715197
HRK,6.502199
CZK,21.819809
DKK,6.429770
EUR,0.864579
HKD,7.783849
HUF,310.450091
ISK,129.838914
INR,74.191052
IDR,14314.971637
IRR,42025.307326
ILS,3.109915
JPY,113.423602
KZT,429.310291
KRW,1181.497298
KWD,0.301998
LYD,4.559666
MYR,4.159955
MUR,43.118050
MXN,20.341125
NPR,119.262117
NZD,1.405796
NOK,8.572422
OMR,0.384500
PKR,170.045821
PHP,50.252088
PLN,3.975168
QAR,3.640000
RON,4.278736
RUB,71.296715
SAR,3.750000
SGD,1.350485
ZAR,15.050317
LKR,201.618322
SEK,8.592587
CHF,0.912248
TWD,27.846396
THB,33.256134
TTD,6.787353
TRY,9.689937
AED,3.672500
GBP,0.740614
VEF,441776.223630
