currency,rate
ARS,10.443707
AUD,0.139412
BHD,0.039397
BWP,1.181458
BRL,0.591340
BND,0.141337
BGN,0.177026
CAD,0.129619
CLP,85.238247
CNY,0.670111
COP,394.016741
HRK,0.680006
CZK,2.317640
DKK,0.673418
EUR,0.090512
HKD,0.815482
HUF,32.582521
ISK,13.576597
INR,7.849333
IDR,1493.548654
IRR,4403.415680
ILS,0.328400
JPY,11.970835
KZT,44.809730
KRW,123.418344
KWD,0.031617
LYD,0.479081
MYR,0.434944
MUR,4.507592
MXN,2.164976
NPR,12.617803
NZD,0.145706
NOK,0.881741
OMR,0.040288
PKR,17.860204
PHP,5.298454
PLN,0.418098
QAR,0.381400
RON,0.447924
RUB,7.428642
SAR,0.392926
SGD,0.141337
ZAR,1.606964
LKR,21.163048
SEK,0.897521
CHF,0.095670
TWD,2.918720
THB,3.494528
TTD,0.710161
AED,0.384805
GBP,0.076614
USD,0.104780
VEF,45551.828360
