currency,rate
ARS,73.892269
AUD,0.986381
BHD,0.278748
BWP,8.359161
BRL,4.183905
BND,1.000000
BGN,1.252511
CAD,0.917089
CLP,603.085400
CNY,4.741233
COP,2787.783076
HRK,4.811244
CZK,16.397978
DKK,4.764629
EUR,0.640399
HKD,5.769775
HUF,230.530814
ISK,96.058374
INR,55.536314
IDR,10567.291258
IRR,31155.447060
ILS,2.323527
JPY,84.697138
KZT,317.041879
KRW,873.220693
KWD,0.223700
LYD,3.389636
MYR,3.077357
MUR,31.892526
MXN,15.317833
NPR,89.274624
NZD,1.030909
NOK,6.238571
OMR,0.285049
PKR,126.366140
PHP,37.488101
PLN,2.958162
QAR,2.698514
RON,3.169191
RUB,52.559801
SAR,2.780063
ZAR,11.369740
LKR,149.734724
SEK,6.350225
CHF,0.676894
TWD,20.650790
THB,24.724799
TTD,5.024597
TRY,7.075291
AED,2.722608
GBP,0.542070
USD,0.741350
VEF,322292.438439
