currency,rate
ARS,11.659893
AUD,0.157095
BHD,0.043884
BWP,1.334837
BRL,0.662667
BND,0.157631
BGN,0.197285
CAD,0.145211
CLP,95.091234
CNY,0.746792
COP,445.029760
HRK,0.758143
CZK,2.576456
DKK,0.750267
EUR,0.100870
HKD,0.908402
HUF,36.200389
ISK,15.150747
INR,8.692425
IDR,1669.905310
IRR,4904.934457
ILS,0.365874
JPY,13.302883
KZT,50.103466
KRW,138.150815
KWD,0.035214
LYD,0.531834
MYR,0.484781
MUR,5.021783
MXN,2.432122
NPR,13.973073
NZD,0.163643
NOK,0.995727
OMR,0.044876
PKR,19.841677
PHP,5.908829
PLN,0.463232
QAR,0.424838
RON,0.499228
RUB,8.404269
SAR,0.437677
SGD,0.157631
ZAR,1.800579
LKR,23.516969
CHF,0.106615
TWD,3.250881
THB,3.897972
TTD,0.791060
TRY,1.132207
AED,0.428631
GBP,0.085550
USD,0.116714
VEF,51221.165372
