currency,rate
ARS,15.508505
AUD,0.207022
BHD,0.058504
BWP,1.754420
BRL,0.878118
BND,0.209880
BGN,0.262877
CAD,0.192479
CLP,126.575532
CNY,0.995090
COP,585.099764
HRK,1.009784
CZK,3.441607
EUR,0.134407
HKD,1.210960
HUF,48.383795
ISK,20.160727
INR,11.655959
IDR,2217.862529
IRR,6538.903578
ILS,0.487662
JPY,17.776231
KZT,66.540733
KRW,183.271513
KWD,0.046950
LYD,0.711417
MYR,0.645876
MUR,6.693602
MXN,3.214906
NPR,18.736953
NZD,0.216367
NOK,1.309351
OMR,0.059826
PKR,26.521719
PHP,7.868001
PLN,0.620859
QAR,0.566364
RON,0.665150
RUB,11.031248
SAR,0.583479
SGD,0.209880
ZAR,2.386280
LKR,31.426316
SEK,1.332785
CHF,0.142066
TWD,4.334187
THB,5.189240
TTD,1.054562
TRY,1.484962
AED,0.571421
GBP,0.113770
USD,0.155595
VEF,67642.719898
