currency,rate
ARS,74.013017
BHD,0.278194
BWP,8.467152
BRL,4.101295
BND,0.999194
BGN,1.251111
CAD,0.921883
CLP,600.280910
CNY,4.734406
COP,2866.815739
HRK,4.810833
CZK,16.143993
DKK,4.757244
EUR,0.639683
HKD,5.759097
HUF,229.695129
ISK,96.064930
INR,54.892312
IDR,10591.329662
IRR,31093.591754
ILS,2.300957
JPY,83.919604
KZT,317.637152
KRW,874.163617
KWD,0.223441
LYD,3.373596
MYR,3.077858
MUR,31.902088
MXN,15.049947
NPR,88.239392
NZD,1.040117
NOK,6.342545
OMR,0.284483
PKR,125.813127
PHP,37.180404
PLN,2.941139
QAR,2.693155
RON,3.165742
RUB,52.750856
SAR,2.774542
SGD,0.999194
ZAR,11.135395
LKR,149.172920
SEK,6.357464
CHF,0.674952
TWD,20.602930
THB,24.605475
TTD,5.021811
TRY,7.169369
AED,2.717201
GBP,0.547964
USD,0.739878
VEF,326860.418593
