currency,rate
AUD,0.013349
BHD,0.003772
BWP,0.113126
BRL,0.056629
BND,0.013533
BGN,0.016951
CAD,0.012412
CLP,8.161656
CNY,0.064171
COP,37.735038
HRK,0.065111
CZK,0.221931
DKK,0.064484
EUR,0.008667
HKD,0.078082
HUF,3.120124
ISK,1.300160
INR,0.751633
IDR,143.029724
IRR,421.631494
ILS,0.031446
JPY,1.146187
KZT,4.290577
KRW,11.817301
KWD,0.003027
LYD,0.045872
MYR,0.041646
MUR,0.431606
MXN,0.207271
NPR,1.208250
NZD,0.013953
NOK,0.084423
OMR,0.003858
PKR,1.710133
PHP,0.507311
PLN,0.040037
QAR,0.036519
RON,0.042893
RUB,0.711394
SAR,0.037623
SGD,0.013533
ZAR,0.153829
LKR,2.026383
SEK,0.085939
CHF,0.009161
TWD,0.279520
THB,0.334633
TTD,0.067999
TRY,0.095749
AED,0.036845
GBP,0.007336
USD,0.010033
VEF,4361.633523
