currency,rate
ARS,0.084667
AUD,0.001144
BHD,0.000318
BWP,0.009686
BRL,0.004692
BND,0.001143
BGN,0.001431
CAD,0.001055
CLP,0.686692
CNY,0.005416
COP,3.279496
HRK,0.005503
CZK,0.018468
DKK,0.005442
EUR,0.000732
HKD,0.006588
HUF,0.262760
ISK,0.109894
INR,0.062794
IDR,12.115958
IRR,35.569533
ILS,0.002632
JPY,0.096000
KZT,0.363361
KWD,0.000256
LYD,0.003859
MYR,0.003521
MUR,0.036494
MXN,0.017216
NPR,0.100942
NZD,0.001190
NOK,0.007256
OMR,0.000325
PKR,0.143924
PHP,0.042533
PLN,0.003365
QAR,0.003081
RON,0.003621
RUB,0.060344
SAR,0.003174
SGD,0.001143
ZAR,0.012738
LKR,0.170646
SEK,0.007273
CHF,0.000772
TWD,0.023569
THB,0.028147
TTD,0.005745
TRY,0.008201
AED,0.003108
GBP,0.000627
USD,0.000846
VEF,373.912174
