currency,rate
ARS,0.026501
AUD,0.000354
BHD,0.000100
BWP,0.002998
BRL,0.001501
BND,0.000359
BGN,0.000449
CAD,0.000329
CLP,0.216289
CNY,0.001701
HRK,0.001725
CZK,0.005881
DKK,0.001709
EUR,0.000230
HKD,0.002069
HUF,0.082685
ISK,0.034455
INR,0.019919
IDR,3.790369
IRR,11.173475
ILS,0.000833
JPY,0.030375
KZT,0.113703
KRW,0.313165
KWD,0.000080
LYD,0.001216
MYR,0.001104
MUR,0.011438
MXN,0.005493
NPR,0.032019
NZD,0.000370
NOK,0.002237
OMR,0.000102
PKR,0.045319
PHP,0.013444
PLN,0.001061
QAR,0.000968
RON,0.001137
RUB,0.018852
SAR,0.000997
SGD,0.000359
ZAR,0.004077
LKR,0.053700
SEK,0.002277
CHF,0.000243
TWD,0.007407
THB,0.008868
TTD,0.001802
TRY,0.002537
AED,0.000976
GBP,0.000194
USD,0.000266
VEF,115.585772
