currency,rate
ARS,21.923953
AUD,0.295385
BHD,0.082515
BWP,2.509878
BRL,1.246005
BND,0.296392
BGN,0.370952
CAD,0.273038
CLP,178.798868
CNY,1.404184
COP,836.783943
HRK,1.425528
CZK,4.844478
DKK,1.410717
EUR,0.189665
HKD,1.708057
HUF,68.067142
ISK,28.487761
INR,16.344258
IDR,3139.902259
IRR,9222.687472
ILS,0.687949
JPY,25.013246
KZT,94.208925
KRW,259.763265
KWD,0.066213
MYR,0.911528
MUR,9.442397
MXN,4.573088
NPR,26.273395
NZD,0.307696
NOK,1.872253
OMR,0.084381
PKR,37.308059
PHP,11.110299
PLN,0.871009
QAR,0.798818
RON,0.938693
RUB,15.802443
SAR,0.822958
SGD,0.296392
ZAR,3.385607
LKR,44.218666
SEK,1.880288
CHF,0.200466
TWD,6.112591
THB,7.329308
TTD,1.487421
TRY,2.128875
AED,0.805950
GBP,0.160859
USD,0.219455
VEF,96310.522457
