currency,rate
ARS,0.233550
AUD,0.003141
BHD,0.000884
BWP,0.026277
BRL,0.013284
BND,0.003165
BGN,0.003956
CAD,0.002905
CLP,1.917751
CNY,0.015017
COP,8.856421
HRK,0.015225
CZK,0.052009
DKK,0.015051
EUR,0.002023
HKD,0.018275
HUF,0.737776
ISK,0.303832
INR,0.176525
IDR,33.283213
IRR,98.790302
ILS,0.007538
JPY,0.267228
KRW,2.750490
KWD,0.000709
LYD,0.010679
MYR,0.009758
MUR,0.100916
MXN,0.047454
NPR,0.283764
NZD,0.003293
NOK,0.019645
OMR,0.000904
PKR,0.410334
PHP,0.119079
PLN,0.009320
QAR,0.008557
RON,0.010008
RUB,0.164436
SAR,0.008815
SGD,0.003165
ZAR,0.034679
LKR,0.474852
SEK,0.020219
CHF,0.002162
TWD,0.065570
THB,0.077891
TTD,0.015963
TRY,0.022919
AED,0.008633
GBP,0.001708
USD,0.002351
VEF,991.983356
