currency,rate
ARS,2.314299
AUD,0.031121
BHD,0.008759
BWP,0.260387
BRL,0.131632
BND,0.031368
BGN,0.039206
CAD,0.028785
CLP,19.003443
CNY,0.148810
COP,87.760347
HRK,0.150873
CZK,0.515366
DKK,0.149147
EUR,0.020045
HKD,0.181088
HUF,7.310797
ISK,3.010743
INR,1.749231
IDR,329.811144
IRR,978.936223
ILS,0.074699
JPY,2.648020
KZT,9.909234
KRW,27.255249
KWD,0.007026
LYD,0.105822
MYR,0.096693
MXN,0.470233
NPR,2.811889
NZD,0.032633
NOK,0.194672
OMR,0.008957
PKR,4.066093
PHP,1.179980
PLN,0.092356
QAR,0.084790
RON,0.099168
RUB,1.629432
SAR,0.087352
SGD,0.031368
ZAR,0.343639
LKR,4.705424
SEK,0.200353
CHF,0.021421
TWD,0.649747
THB,0.771837
TTD,0.158184
TRY,0.227108
AED,0.085547
GBP,0.016927
USD,0.023294
VEF,9829.795212
