currency,rate
ARS,23.337263
AUD,0.313818
BHD,0.088321
BWP,2.625733
BRL,1.327371
BND,0.316309
BGN,0.395347
CAD,0.290268
CLP,191.629640
CNY,1.500594
COP,884.970330
HRK,1.521395
CZK,5.196925
DKK,1.503993
EUR,0.202138
HKD,1.826077
HUF,73.721656
ISK,30.360163
INR,17.639144
IDR,3325.796752
IRR,9871.537014
ILS,0.753255
JPY,26.702487
KZT,99.924150
KRW,274.840373
KWD,0.070852
LYD,1.067100
MYR,0.975048
MUR,10.083943
MXN,4.741807
NPR,28.354924
NZD,0.329074
NOK,1.963058
OMR,0.090317
PKR,41.002252
PHP,11.898855
PLN,0.931313
QAR,0.855018
RUB,16.431094
SAR,0.880856
SGD,0.316309
ZAR,3.465241
LKR,47.449228
SEK,2.020348
CHF,0.216007
TWD,6.552014
THB,7.783160
TTD,1.595123
TRY,2.290144
AED,0.862652
GBP,0.170690
USD,0.234895
VEF,99123.094013
