currency,rate
ARS,12.780002
AUD,0.171854
BHD,0.048366
BWP,1.437909
BRL,0.726898
BND,0.173218
BGN,0.216501
CAD,0.158957
CLP,104.940633
CNY,0.821759
COP,484.629344
HRK,0.833149
CZK,2.845951
DKK,0.823620
EUR,0.110695
HUF,40.371611
ISK,16.625897
INR,9.659586
IDR,1821.279928
IRR,5405.872207
ILS,0.412499
JPY,14.622873
KZT,54.720677
KRW,150.508673
KWD,0.038800
LYD,0.584367
MYR,0.533958
MUR,5.522190
MXN,2.596719
NPR,15.527784
NZD,0.180208
NOK,1.075014
OMR,0.049460
PKR,22.453741
PHP,6.516077
PLN,0.510008
QAR,0.468227
RON,0.547622
RUB,8.998031
SAR,0.482376
SGD,0.173218
ZAR,1.897642
LKR,25.984248
SEK,1.106387
CHF,0.118290
TWD,3.588028
THB,4.262231
TTD,0.873525
TRY,1.254134
AED,0.472407
GBP,0.093474
USD,0.128634
VEF,54282.000686
