currency,rate
ARS,15.551951
AUD,0.209311
BHD,0.058859
BWP,1.749636
BRL,0.884493
BND,0.210949
BGN,0.263364
CAD,0.193625
CLP,127.695055
COP,590.086906
HRK,1.013466
CZK,3.462034
DKK,1.001939
EUR,0.134656
HKD,1.216966
HUF,49.122785
ISK,20.226827
INR,11.756336
IDR,2216.340029
IRR,6578.658548
ILS,0.502330
JPY,17.787864
KZT,66.570129
KRW,183.132026
KWD,0.047208
LYD,0.711184
MYR,0.649712
MUR,6.707186
MXN,3.163685
NPR,18.898310
NZD,0.219506
NOK,1.308029
OMR,0.060190
PKR,27.324196
PHP,7.936950
PLN,0.620380
QAR,0.569807
RON,0.666155
RUB,10.972576
SAR,0.587026
SGD,0.210949
ZAR,2.312685
LKR,31.620682
SEK,1.346346
CHF,0.143929
TWD,4.366441
THB,5.190053
TTD,1.063071
TRY,1.527373
AED,0.574894
GBP,0.113854
USD,0.156540
VEF,66054.555328
