currency,rate
ARS,99.351895
AUD,1.335993
BHD,0.376000
BWP,11.178325
BRL,5.650913
BND,1.346597
BGN,1.683079
CAD,1.235733
CLP,815.809803
CNY,6.388363
COP,3767.514621
HRK,6.476913
CZK,22.124460
DKK,6.402832
EUR,0.860544
HKD,7.774013
HUF,313.849412
ISK,129.249934
INR,75.093740
IDR,14158.653087
IRR,42025.318582
ILS,3.206775
JPY,113.678398
KZT,425.399231
KRW,1170.056318
KWD,0.301632
LYD,4.542880
MYR,4.150994
MUR,42.929578
MXN,20.186923
NPR,120.713187
NZD,1.400942
NOK,8.357172
OMR,0.384500
PKR,174.555665
PHP,50.656062
PLN,3.964805
QAR,3.640000
RON,4.257221
RUB,69.950806
SAR,3.750000
SGD,1.346597
ZAR,14.752297
LKR,202.001871
SEK,8.601069
CHF,0.919589
TWD,27.893372
THB,33.134636
TTD,6.790792
TRY,9.749651
AED,3.672500
GBP,0.726665
VEF,421988.956602
