currency,rate
ARS,0.822928
AUD,0.011076
BHD,0.003115
BWP,0.092582
BRL,0.046803
BND,0.011162
BGN,0.013936
CAD,0.010246
CLP,6.756956
CNY,0.052915
COP,31.224321
HRK,0.053627
CZK,0.183193
DKK,0.053017
EUR,0.007125
HKD,0.064395
HUF,2.599322
ISK,1.070298
INR,0.622084
IDR,117.277154
IRR,348.108296
ILS,0.026581
JPY,0.941241
KZT,3.522544
KRW,9.690392
KWD,0.002498
LYD,0.037632
MYR,0.034379
MUR,0.354909
MXN,0.167406
NZD,0.011615
NOK,0.069214
OMR,0.003185
PKR,1.445854
PHP,0.419982
PLN,0.032827
QAR,0.030151
RON,0.035249
RUB,0.580611
SAR,0.031062
SGD,0.011162
ZAR,0.122375
LKR,1.673202
SEK,0.071242
CHF,0.007616
TWD,0.231049
THB,0.274631
TTD,0.056252
TRY,0.080821
AED,0.030420
GBP,0.006025
USD,0.008283
VEF,3495.262522
